Id,SalePrice
1461,135021.34
1462,156245.0
1463,187690.03
1464,209384.2
1465,220573.42
1466,187646.85
1467,162616.08
1468,175842.89
1469,200629.46
1470,139907.68
1471,199490.35
1472,92912.33
1473,111334.16
1474,162820.5
1475,135867.4
1476,316313.34
1477,249878.55
1478,306816.91
1479,266660.6
1480,358530.15
1481,305700.39
1482,228813.99
1483,167917.03
1484,166101.32
1485,178761.29
1486,225400.71
1487,315551.33
1488,251393.64
1489,181132.74
1490,208901.85
1491,215087.29
1492,110464.04
1493,185000.34
1494,295324.79
1495,318651.27
1496,227283.95
1497,198109.86
1498,162260.9
1499,157972.87
1500,156311.51
1501,173863.57
1502,160513.87
1503,318345.58
1504,236749.41
1505,243230.25
1506,208251.0
1507,235969.37
1508,216316.68
1509,178932.0
1510,155341.0
1511,155244.0
1512,190112.25
1513,170167.79
1514,182318.2
1515,191135.56
1516,173791.0
1517,149233.0
1518,142111.13
1519,248521.23
1520,141356.25
1521,144215.0
1522,183360.5
1523,127121.5
1524,132319.25
1525,136744.0
1526,132996.75
1527,115908.5
1528,134667.0
1529,145098.25
1530,179567.5
1531,129283.64
1532,121038.5
1533,156254.37
1534,117418.33
1535,181624.25
1536,129525.75
1537,83971.0
1538,207150.03
1539,260517.64
1540,122145.99
1541,168495.22
1542,161130.75
1543,242891.68
1544,87597.79
1545,121478.0
1546,133876.85
1547,155029.21
1548,150240.91
1549,126090.5
1550,162455.5
1551,127530.0
1552,159961.93
1553,153798.98
1554,115858.62
1555,188731.0
1556,96684.66
1557,143479.75
1558,105395.04
1559,122969.88
1560,163947.37
1561,159898.0
1562,134601.25
1563,132450.12
1564,180279.55
1565,157344.52
1566,239741.53
1567,86007.04
1568,236852.95
1569,157267.5
1570,134657.79
1571,137652.18
1572,151675.75
1573,240293.61
1574,133495.0
1575,242620.11
1576,232335.41
1577,184643.89
1578,168733.61
1579,149870.75
1580,207745.45
1581,143555.25
1582,141127.61
1583,336157.54
1584,257934.02
1585,145527.18
1586,75809.54
1587,114195.0
1588,153898.5
1589,102532.0
1590,144765.12
1591,121533.5
1592,139541.0
1593,130224.07
1594,139223.68
1595,138600.11
1596,240506.15
1597,167763.97
1598,196057.03
1599,239295.34
1600,211282.92
1601,86574.0
1602,124617.5
1603,111005.0
1604,313233.62
1605,266010.18
1606,164741.0
1607,189162.63
1608,203567.49
1609,176558.51
1610,152848.07
1611,150511.75
1612,163773.3
1613,168193.17
1614,136983.96
1615,95088.0
1616,92838.5
1617,102603.5
1618,134487.0
1619,134967.65
1620,162774.14
1621,145588.04
1622,166146.87
1623,307858.5
1624,232490.81
1625,133890.04
1626,183639.0
1627,198603.85
1628,300408.41
1629,191024.3
1630,376759.11
1631,246240.32
1632,267502.37
1633,175299.4
1634,199995.15
1635,200143.17
1636,151900.69
1637,193628.24
1638,230685.0
1639,191274.37
1640,246490.79
1641,203593.52
1642,240813.9
1643,240040.02
1644,230376.43
1645,192860.0
1646,154846.75
1647,162435.8
1648,141488.5
1649,145166.0
1650,133257.97
1651,131357.75
1652,94801.0
1653,99514.83
1654,154047.4
1655,149634.63
1656,155781.5
1657,155895.5
1658,154812.55
1659,141998.05
1660,151842.5
1661,342578.09
1662,352508.54
1663,333550.39
1664,332539.24
1665,293540.86
1666,309914.56
1667,336227.19
1668,320050.73
1669,315265.38
1670,322960.3
1671,274222.92
1672,349950.57
1673,292987.91
1674,251506.95
1675,186060.63
1676,185481.1
1677,206568.89
1678,325169.93
1679,348630.16
1680,346415.39
1681,286653.94
1682,309243.99
1683,198587.82
1684,193950.79
1685,182484.03
1686,160025.21
1687,175915.68
1688,211908.56
1689,211235.99
1690,209105.62
1691,179261.71
1692,274211.51
1693,177271.79
1694,188184.65
1695,180706.36
1696,272930.31
1697,182843.98
1698,338103.57
1699,307731.08
1700,278961.7
1701,291710.29
1702,227727.68
1703,248426.61
1704,301558.3
1705,249137.99
